192.168.1.152 - - [24/Sep/2022:22:22:25 +0100] "GET /repository/maven-public/org/jboss/logmanager/jboss-logmanager-embedded/1.0.6/jboss-logmanager-embedded-1.0.6.pom HTTP/1.1" 200 - 4982 150 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:25 +0100] "GET /repository/maven-public/org/jboss/logmanager/jboss-logmanager-embedded/1.0.6/jboss-logmanager-embedded-1.0.6.pom.sha1 HTTP/1.1" 200 - 40 180 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:25 +0100] "GET /repository/maven-public/org/jboss/logging/jboss-logging-annotations/2.2.0.Final/jboss-logging-annotations-2.2.0.Final.pom HTTP/1.1" 200 - 1848 152 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:25 +0100] "GET /repository/maven-public/org/jboss/logging/jboss-logging-annotations/2.2.0.Final/jboss-logging-annotations-2.2.0.Final.pom.sha1 HTTP/1.1" 200 - 40 166 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:26 +0100] "GET /repository/maven-public/org/jboss/logging/jboss-logging-tools-parent/2.2.0.Final/jboss-logging-tools-parent-2.2.0.Final.pom HTTP/1.1" 200 - 5575 253 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:26 +0100] "GET /repository/maven-public/org/jboss/logging/jboss-logging-tools-parent/2.2.0.Final/jboss-logging-tools-parent-2.2.0.Final.pom.sha1 HTTP/1.1" 200 - 40 138 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:26 +0100] "GET /repository/maven-public/org/jboss/threads/jboss-threads/3.2.0.Final/jboss-threads-3.2.0.Final.pom HTTP/1.1" 200 - 7340 133 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:26 +0100] "GET /repository/maven-public/org/jboss/threads/jboss-threads/3.2.0.Final/jboss-threads-3.2.0.Final.pom.sha1 HTTP/1.1" 200 - 40 143 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:26 +0100] "GET /repository/maven-public/org/graalvm/sdk/graal-sdk/21.0.0/graal-sdk-21.0.0.pom HTTP/1.1" 200 - 1360 75 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:27 +0100] "GET /repository/maven-public/org/graalvm/sdk/graal-sdk/21.0.0/graal-sdk-21.0.0.pom.sha1 HTTP/1.1" 200 - 40 149 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:27 +0100] "GET /repository/maven-public/io/quarkus/quarkus-bootstrap-runner/1.12.2.Final/quarkus-bootstrap-runner-1.12.2.Final.pom HTTP/1.1" 200 - 1738 132 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:27 +0100] "GET /repository/maven-public/io/quarkus/quarkus-bootstrap-runner/1.12.2.Final/quarkus-bootstrap-runner-1.12.2.Final.pom.sha1 HTTP/1.1" 200 - 40 126 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:27 +0100] "GET /repository/maven-public/io/quarkus/quarkus-bootstrap-parent/1.12.2.Final/quarkus-bootstrap-parent-1.12.2.Final.pom HTTP/1.1" 200 - 34777 189 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:27 +0100] "GET /repository/maven-public/io/quarkus/quarkus-bootstrap-parent/1.12.2.Final/quarkus-bootstrap-parent-1.12.2.Final.pom.sha1 HTTP/1.1" 200 - 40 131 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:27 +0100] "GET /repository/maven-public/io/smallrye/common/smallrye-common-io/1.5.0/smallrye-common-io-1.5.0.pom HTTP/1.1" 200 - 1844 146 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:28 +0100] "GET /repository/maven-public/io/smallrye/common/smallrye-common-io/1.5.0/smallrye-common-io-1.5.0.pom.sha1 HTTP/1.1" 200 - 40 126 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:28 +0100] "GET /repository/maven-public/io/quarkus/quarkus-undertow-websockets/1.12.2.Final/quarkus-undertow-websockets-1.12.2.Final.pom HTTP/1.1" 200 - 3010 210 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:28 +0100] "GET /repository/maven-public/io/quarkus/quarkus-undertow-websockets/1.12.2.Final/quarkus-undertow-websockets-1.12.2.Final.pom.sha1 HTTP/1.1" 200 - 40 199 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:28 +0100] "GET /repository/maven-public/io/quarkus/quarkus-undertow-websockets-parent/1.12.2.Final/quarkus-undertow-websockets-parent-1.12.2.Final.pom HTTP/1.1" 200 - 769 212 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:29 +0100] "GET /repository/maven-public/io/quarkus/quarkus-undertow-websockets-parent/1.12.2.Final/quarkus-undertow-websockets-parent-1.12.2.Final.pom.sha1 HTTP/1.1" 200 - 40 200 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:29 +0100] "GET /repository/maven-public/io/quarkus/quarkus-extensions-parent/1.12.2.Final/quarkus-extensions-parent-1.12.2.Final.pom HTTP/1.1" 200 - 8309 189 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:29 +0100] "GET /repository/maven-public/io/quarkus/quarkus-extensions-parent/1.12.2.Final/quarkus-extensions-parent-1.12.2.Final.pom.sha1 HTTP/1.1" 200 - 40 111 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:29 +0100] "GET /repository/maven-public/io/quarkus/quarkus-undertow/1.12.2.Final/quarkus-undertow-1.12.2.Final.pom HTTP/1.1" 200 - 5077 197 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:29 +0100] "GET /repository/maven-public/io/quarkus/quarkus-undertow/1.12.2.Final/quarkus-undertow-1.12.2.Final.pom.sha1 HTTP/1.1" 200 - 40 140 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:29 +0100] "GET /repository/maven-public/io/quarkus/quarkus-http-parent/1.12.2.Final/quarkus-http-parent-1.12.2.Final.pom HTTP/1.1" 200 - 770 74 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
